id,tas_project_id,title,year,author,bibtex_source,added_by_username,project_id,forum,link,month,publication_type,doi,status,checked_for_duplicates,reviewed_by_id,reviewed_comment,reviewed_date,submitted_date,ticket_id,normalized_forum_id
1420,,SLASH: Serverless Apache Spark Hub,2023.0,"Spillner, Josef","@inproceedings{10.1145/3583678.3603277,
author = {Spillner, Josef},
title = {Demo: SLASH: Serverless Apache Spark Hub},
year = {2023},
isbn = {9798400701221},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3583678.3603277},
doi = {10.1145/3583678.3603277},
abstract = {Application needs for big data processing are shifting from planned batch processing to emergent scenarios involving high elasticity. Consequently, for many organisations managing private or public cloud resources it is no longer wise to pre-provision big data frameworks over large fixed-size clusters. Instead, they are looking forward to on-demand provisioning of those frameworks in the same way that the underlying compute resources such as virtual machines or containers can already be instantiated on demand today. Yet many big data frameworks, including the widely used Apache Spark, do not sandwich well in between underlying resource managers and user requests. With SLASH, we introduce a light-weight serverless provisioning model for worker nodes in standalone Spark clusters that help organisations slashing operating costs while providing greater flexibility and comfort to their users and more sustainable operations based on a unique triple scaling method.},
booktitle = {Proceedings of the 17th ACM International Conference on Distributed and Event-Based Systems},
pages = {195–198},
numpages = {4},
keywords = {autoscaling, big data, provisioning},
location = {Neuchatel, Switzerland},
series = {DEBS '23}
}",,,DEBS '23: Proceedings of the 17th ACM International Conference on Distributed and Event-based Systems,https://dl.acm.org/doi/abs/10.1145/3583678.3603277?casa_token=hcDKz34L1ucAAAAA:VY9c9Yy1VSvVmbZmQj99aCRFoTVDOOgybPLja9u1XpEONuPbTCHeEFO1MP5ErH1U5Y-lz96975Q,,tutorial,,APPROVED,1,,,,,,847.0
1421,,Containers in HPC,2022.0,"R Keller Tesser, E Borin","@article{keller2023containers,
  title={Containers in HPC: a survey},
  author={Keller Tesser, Rafael and Borin, Edson},
  journal={The Journal of Supercomputing},
  volume={79},
  number={5},
  pages={5759--5827},
  year={2023},
  publisher={Springer}
}",,,Journal of Supercomputing,https://link.springer.com/article/10.1007/s11227-022-04848-y,,journal article,,APPROVED,1,,,,,,848.0
1422,,AMRIC: A Novel In Situ Lossy Compression Framework for Efficient I/O in Adaptive Mesh Refinement Applications,2023.0,"Wang, Daoce and Pulido, Jesus and Grosset, Pascal and Tian, Jiannan and Jin, Sian and Tang, Houjun and Sexton, Jean and Di, Sheng and Zhao, Kai and Fang, Bo and Luki\'{c}, Zarija and Cappello, Franck and Ahrens, James and Tao, Dingwen","@inproceedings{10.1145/3581784.3613212,
author = {Wang, Daoce and Pulido, Jesus and Grosset, Pascal and Tian, Jiannan and Jin, Sian and Tang, Houjun and Sexton, Jean and Di, Sheng and Zhao, Kai and Fang, Bo and Luki\'{c}, Zarija and Cappello, Franck and Ahrens, James and Tao, Dingwen},
title = {AMRIC: A Novel In Situ Lossy Compression Framework for Efficient I/O in Adaptive Mesh Refinement Applications},
year = {2023},
isbn = {9798400701092},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3581784.3613212},
doi = {10.1145/3581784.3613212},
abstract = {As supercomputers advance towards exascale capabilities, computational intensity increases significantly, and the volume of data requiring storage and transmission experiences exponential growth. Adaptive Mesh Refinement (AMR) has emerged as an effective solution to address these two challenges. Concurrently, error-bounded lossy compression is recognized as one of the most efficient approaches to tackle the latter issue. Despite their respective advantages, few attempts have been made to investigate how AMR and error-bounded lossy compression can function together. To this end, this study presents a novel in-situ lossy compression framework that employs the HDF5 filter to improve both I/O costs and boost compression quality for AMR applications. We implement our solution into the AMReX framework and evaluate on two real-world AMR applications, Nyx and WarpX, on the Summit supercomputer. Experiments with 4096 CPU cores demonstrate that AMRIC improves the compression ratio by up to 81\texttimes{} and the I/O performance by up to 39\texttimes{} over AMReX's original compression solution.},
booktitle = {Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis},
articleno = {44},
numpages = {15},
keywords = {lossy compression, AMR, I/O, performance},
location = {<conf-loc>, <city>Denver</city>, <state>CO</state>, <country>USA</country>, </conf-loc>},
series = {SC '23}
}",,,SC23,https://dl.acm.org/doi/abs/10.1145/3581784.3613212?casa_token=CRH1WT0eq8sAAAAA:xM8kOc-_k1w__ZirpKzTElEuRo57B7osbH_KP05UztDC8SvjltW4ZlYc-56cVbjSMMYSnA3-JZI,,conference paper,,APPROVED,1,,,,,,537.0
1423,,Nexus: Correlation Discovery over Collections of Spatio-Temporal Tabular Data,2024.0,"Y Gong, S Galhotra, RC Fernandez","@article{gong2024nexus,
  title={Nexus: Correlation Discovery over Collections of Spatio-Temporal Tabular Data},
  author={Gong, Yue and GALHOTRA, SAINYAM and FERNANDEZ, RAUL CASTRO},
  journal={Proc. ACM Manag. Data},
  volume={2},
  number={3},
  year={2024}
}",,,"Proc. ACM Manag. Data, Vol. 2, No. 3 (SIGMOD), Article 154",https://dl.acm.org/doi/10.1145/3654957,,conference paper,10.1145/3654957,APPROVED,1,,,,,,689.0
1424,,ACES: Accelerating Sparse Matrix Multiplication with Adaptive Execution Flow and Concurrency-Aware Cache Optimizations,2024.0,"Lu, Xiaoyang and Long, Boyu and Chen, Xiaoming and Han, Yinhe and Sun, Xian-He","{""year"": ""2024"", ""pages"": ""71--85"", ""booktitle"": ""Proceedings of the 29th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 3"", ""author"": ""Lu, Xiaoyang and Long, Boyu and Chen, Xiaoming and Han, Yinhe and Sun, Xian-He"", ""title"": ""ACES: Accelerating Sparse Matrix Multiplication with Adaptive Execution Flow and Concurrency-Aware Cache Optimizations"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""lu2024aces""}",xhsun,357.0,"Proceedings of the 29th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 3",https://dl.acm.org/doi/pdf/10.1145/3620666.3651381,4.0,conference paper,10.1145/3620666.3651381,APPROVED,1,,,,,,538.0
1425,,CHROME: Concurrency-Aware Holistic Cache Management Framework with Online Reinforcement Learning,2024.0,"Lu, Xiaoyang and Najafi, Hamed and Liu, Jason and Sun, Xian-He","{""organization"": ""IEEE Computer Society"", ""year"": ""2024"", ""booktitle"": ""The 30th IEEE International Symposium on High-Performance Computer Architecture (HPCA-30)"", ""author"": ""Lu, Xiaoyang and Najafi, Hamed and Liu, Jason and Sun, Xian-He"", ""title"": ""CHROME: Concurrency-Aware Holistic Cache Management Framework with Online Reinforcement Learning"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""lu2024chrome""}",xhsun,357.0,The 30th IEEE International Symposium on High-Performance Computer Architecture (HPCA-30),https://www.computer.org/csdl/proceedings-article/hpca/2024/931300b154/1VOABr6i2yc,,conference paper,10.1109/HPCA57654.2024.00090,APPROVED,1,,,,,,771.0
1426,,TunIO: An AI-Powered Framework for Optimizing HPC I/O,2024.0,"N. {Rajesh}, K. {Bateman}, JL. {Bez}, S. {Byna}, A. {Kougkas}and X. {Sun }","{""doi"": """", ""pages"": ""494-505"", ""number"": """", ""volume"": """", ""year"": ""2024"", ""title"": ""TunIO: An AI-Powered Framework for Optimizing HPC I/O"", ""booktitle"": ""2024 IEEE International Parallel and Distributed Processing\nSymposium (IPDPS)"", ""author"": ""N. {Rajesh}, K. {Bateman}, JL. {Bez}, S. {Byna}, A. {Kougkas}\nand X. {Sun } "", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""rajesh2024tunio""}",xhsun,620.0,2024 IEEE International Parallel and Distributed Processing Symposium (IPDPS),https://doi.org/,,conference paper,,SUBMITTED,1,,,,,,
1427,,Hades: A Context-Aware Active Storage Framework for Accelerating Large-Scale Data Analysis,2024.0,"Cernuda, Jaime and Logan, Luke and Gainaru, Ana and Klasky, Scott and Lofstead, Jay and Kougkas, Anthony and Sun, Xian-He","{""doi"": ""DOI 10.1109/CCGrid59990.2024.00070"", ""month"": ""May 6-9"", ""address"": ""Philadelphia"", ""year"": ""2024"", ""pages"": ""577--586"", ""booktitle"": ""The 24th IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing"", ""author"": ""Cernuda, Jaime and Logan, Luke and Gainaru, Ana and Klasky, Scott and Lofstead, Jay and Kougkas, Anthony and Sun, Xian-He"", ""title"": ""Hades: A Context-Aware Active Storage Framework for Accelerating Large-Scale Data Analysis"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""cernuda2024hades""}",xhsun,620.0,"The 24th IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing,Philadelphia",https://doi.org/DOI 10.1109/CCGrid59990.2024.00070,,conference paper,DOI 10.1109/CCGrid59990.2024.00070,SUBMITTED,1,,,,,,
1429,,Interactive Abstract Interpretation with Demanded Summarization,2024.0,Benno Stein and Bor-Yuh Evan Chang and Manu Sridharan,"{""bibsource"": ""dblp computer science bibliography, https://dblp.org"", ""biburl"": ""https://dblp.org/rec/journals/toplas/SteinCS24.bib"", ""timestamp"": ""Mon, 15 Apr 2024 08:26:24 +0200"", ""doi"": ""10.1145/3648441"", ""url"": ""https://doi.org/10.1145/3648441"", ""year"": ""2024"", ""pages"": ""4:1--4:40"", ""number"": ""1"", ""volume"": ""46"", ""journal"": ""{ACM} Trans. Program. Lang. Syst."", ""title"": ""Interactive Abstract Interpretation with Demanded Summarization"", ""author"": ""Benno Stein and\nBor{-}Yuh Evan Chang and\nManu Sridharan"", ""ENTRYTYPE"": ""article"", ""ID"": ""DBLP:journals/toplas/SteinCS24""}",bec,834.0,"ACM Transactions on Programming Languages and Systems, Vol. 46, No. 1",https://doi.org/10.1145/3648441,,journal article,10.1145/3648441,APPROVED,1,10484.0,"Hi Marc,
 
Yes, we did.
 
I’m very sorry that we did not explicitly acknowledge the use of Chameleon Cloud in the publication. We will be more careful in doing so in the future. We appreciate your efforts in making this resource available.
 
-----
Bor-Yuh Evan Chang
Associate Professor and Co-Associate Chair of Graduate Education
Department of Computer Science
University of Colorado Boulder
 
From: Marc Richardson <mtrichardson@uchicago.edu>
Date: Wednesday, March 26, 2025 at 11:58 AM
To: Bor-Yuh Evan Chang <evan.chang@colorado.edu>
Cc: portal via RT <help@chameleoncloud.org>
Subject: Citing Chameleon in your publications

[External email - use caution]
 
You recently reported using the Chameleon testbed for the publications listed below. However, on reviewing them, we cannot verify that the publication cites or acknowledge Chameleon. Thus, we are reaching out to ask you to confirm that you indeed used the testbed for the publications highlighted in yellow below.

{""bibsource"": ""dblp computer science bibliography, https://dblp.org"", ""biburl"": https://dblp.org/rec/journals/toplas/SteinCS24.bib, ""timestamp"": ""Mon, 15 Apr 2024 08:26:24 +0200"", ""doi"": ""10.1145/3648441"", ""url"": https://doi.org/10.1145/3648441, ""year"": ""2024"", ""pages"": ""4:1--4:40"", ""number"": ""1"", ""volume"": ""46"", ""journal"": ""{ACM} Trans. Program. Lang. Syst."", ""title"": ""Interactive Abstract Interpretation with Demanded Summarization"", ""author"": ""Benno Stein and\nBor{-}Yuh Evan Chang and\nManu Sridharan"", ""ENTRYTYPE"": ""article"", ""ID"": ""DBLP:journals/toplas/SteinCS24""}

Accurately reporting publications is very important to us as it allows us to demonstrate to NSF the use of the testbed – and that in turn allows NSF to demonstrate the need for those testbeds and ensure their continued funding. This is also why the Chameleon terms and conditions require our users to explicitly acknowledge/reference the use of Chameleon for any publications resulting from work on the testbed. 
 
Your prompt attention to resolving this will be much appreciated and will be of the greatest help in ensuring future support of research testbeds.
 
 
-- 
Marc Richardson
Technical Project Manager, Nimbus Project, Chameleon
The University of Chicago
John Crerar Library, Room 295",1743379200000.0,1743379200000.0,,849.0
1430,,Yggdrasil: Reducing Network I/O Tax with (CXL-Based) Distributed Shared Memor,2024.0,"Tang, Wenda and Han, Ying and Ai, Tianxiang and Li, Guanghui and Yu, bin and Yang, Xin","{""year"": ""2024"", ""booktitle"": ""Proceedings of the 53rd International Conference on Parallel Processing"", ""author"": ""Tang, Wenda and Han, Ying and Ai, Tianxiang and Li, Guanghui and Yu, bin and Yang, Xin"", ""title"": ""Yggdrasil: Reducing Network I/O Tax with (CXL-Based) Distributed Shared Memor"", ""ENTRYTYPE"": ""article"", ""ID"": ""tang2022themis""}",wdkirchhoff@gmail.com,1235.0,Proceedings of the 53rd International Conference on Parallel Processing,,,conference paper,,DELETED,1,,,,,,
1431,,Perseus: Removing Energy Bloat from Large Model Training,2023.0,Jae-Won Chung and Yile Gu and Insu Jang and Luoxi Meng and Nikhil Bansal and Mosharaf Chowdhury,"{""primaryclass"": ""id='cs.LG' full_name='Machine Learning' is_active=True alt_name=None in_archive='cs' is_general=False description='Papers on all aspects of machine learning research (supervised, unsupervised, reinforcement learning, bandit problems, and so on) including also robustness, explanation, fairness, and methodology. cs.LG is also an appropriate primary category for applications of machine learning methods.'"", ""archiveprefix"": ""arXiv"", ""eprint"": ""2312.06902"", ""year"": ""2023"", ""author"": ""Jae-Won Chung and Yile Gu and Insu Jang and Luoxi Meng and Nikhil Bansal and Mosharaf Chowdhury"", ""title"": ""Perseus: Removing Energy Bloat from Large Model Training"", ""ENTRYTYPE"": ""misc"", ""ID"": ""chung2023perseus""}",mosharaf,142.0,,,,preprint,,DELETED,1,,,,,,
1432,,DyNN-Offload: Enabling Large Dynamic Neural Network Training with Learning-based Memory Management,2024.0,Jie Ren and Shuangyan Yang and Dong Xu and Jiacheng Li and Zhicheng Zhang and Christian Navasca and Chenxi Wang and Guoqing Harry Xu and Dong Li,"{""howpublished"": ""https://ieeexplore.ieee.org/document/10476398"", ""booktitle"": ""International Symposium on High-Performance Computer Architecture (HPCA)"", ""year"": ""2024"", ""author"": ""Jie Ren and Shuangyan Yang and Dong Xu and Jiacheng Li and Zhicheng Zhang and Christian Navasca and Chenxi Wang and Guoqing Harry Xu and Dong Li"", ""title"": ""{DyNN-Offload: Enabling Large Dynamic Neural Network Training with Learning-based Memory Management}"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""dynn-offload""}",dongliuc,133.0,International Symposium on High-Performance Computer Architecture (HPCA),,,conference paper,,REJECTED,1,,,,,,
1433,,QARMA-FL: Quality-Aware Robust Model Aggregation for Mobile Crowdsourcing,2024.0,"Edirimannage, Shehan and Elvitigala, Charitha and Khalil, Ibrahim and Wijesekera, Primal and Yi, Xun","{""doi"": ""10.1109/JIOT.2023.3325443"", ""keywords"": ""Crowdsourcing;Computational modeling;Data models;Internet of Things;Training;Data privacy;Servers;Federated learning (FL);mobile crowdsource;model selection;robust model aggregation"", ""pages"": ""1800-1815"", ""number"": ""2"", ""volume"": ""11"", ""year"": ""2024"", ""title"": ""QARMA-FL: Quality-Aware Robust Model Aggregation for Mobile Crowdsourcing"", ""journal"": ""IEEE Internet of Things Journal"", ""author"": ""Edirimannage, Shehan and Elvitigala, Charitha and Khalil, Ibrahim and Wijesekera, Primal and Yi, Xun"", ""ENTRYTYPE"": ""article"", ""ID"": ""10287391""}",ibrahim.khalil@rmit.edu.au,1332.0,IEEE Internet of Things Journal,https://doi.org/10.1109/JIOT.2023.3325443,,journal article,10.1109/JIOT.2023.3325443,SUBMITTED,1,,,,,,
1434,,Blockchain-Based Federated Learning With SMPC Model Verification Against Poisoning Attack for Healthcare Systems,2024.0,"Kalapaaking, Aditya Pribadi and Khalil, Ibrahim and Yi, Xun","{""doi"": ""10.1109/TETC.2023.3268186"", ""keywords"": ""Federated learning;Computational modeling;Medical services;Data models;Blockchains;Hospitals;Servers;Federated learning;secure multi-party computation;blockchain;poisoning attack;encrypted inference;healthcare systems"", ""pages"": ""269-280"", ""number"": ""1"", ""volume"": ""12"", ""year"": ""2024"", ""title"": ""Blockchain-Based Federated Learning With SMPC Model Verification Against Poisoning Attack for Healthcare Systems"", ""journal"": ""IEEE Transactions on Emerging Topics in Computing"", ""author"": ""Kalapaaking, Aditya Pribadi and Khalil, Ibrahim and Yi, Xun"", ""ENTRYTYPE"": ""article"", ""ID"": ""10106772""}",ibrahim.khalil@rmit.edu.au,1332.0,IEEE Transactions on Emerging Topics in Computing,https://doi.org/10.1109/TETC.2023.3268186,,journal article,10.1109/TETC.2023.3268186,SUBMITTED,1,,,,,,
1435,,Blockchain-Enabled and Multisignature-Powered Verifiable Model for Securing Federated Learning Systems,2023.0,Aditya Pribadi Kalapaaking andIbrahim Khalil andMohammed Atiquzzaman,"{""bibsource"": ""dblp computer science bibliography, https://dblp.org"", ""biburl"": ""https://dblp.org/rec/journals/iotj/KalapaakingKA23.bib"", ""timestamp"": ""Sat, 13 Jan 2024 17:36:11 +0100"", ""doi"": ""10.1109/JIOT.2023.3289832"", ""url"": ""https://doi.org/10.1109/JIOT.2023.3289832"", ""year"": ""2023"", ""pages"": ""21410--21420"", ""number"": ""24"", ""volume"": ""10"", ""journal"": ""{IEEE} Internet Things J."", ""title"": ""Blockchain-Enabled and Multisignature-Powered Verifiable Model for\nSecuring Federated Learning Systems"", ""author"": ""Aditya Pribadi Kalapaaking and\nIbrahim Khalil and\nMohammed Atiquzzaman"", ""ENTRYTYPE"": ""article"", ""ID"": ""DBLP:journals/iotj/KalapaakingKA23""}",ibrahim.khalil@rmit.edu.au,1332.0,{IEEE} Internet Things J.,https://doi.org/10.1109/JIOT.2023.3289832,,journal article,10.1109/JIOT.2023.3289832,SUBMITTED,1,,,,,,
1436,,Toward Trustworthy and Privacy-Preserving Federated Deep LearningService Framework for Industrial Internet of Things,2023.0,Neda Bugshan andIbrahim Khalil andMohammad Saidur Rahman andMohammed Atiquzzaman andXun Yi andShahriar Badsha,"{""bibsource"": ""dblp computer science bibliography, https://dblp.org"", ""biburl"": ""https://dblp.org/rec/journals/tii/BugshanKRAYB23.bib"", ""timestamp"": ""Tue, 03 Jan 2023 15:21:03 +0100"", ""doi"": ""10.1109/TII.2022.3209200"", ""url"": ""https://doi.org/10.1109/TII.2022.3209200"", ""year"": ""2023"", ""pages"": ""1535--1547"", ""number"": ""2"", ""volume"": ""19"", ""journal"": ""{IEEE} Trans. Ind. Informatics"", ""title"": ""Toward Trustworthy and Privacy-Preserving Federated Deep Learning\nService Framework for Industrial Internet of Things"", ""author"": ""Neda Bugshan and\nIbrahim Khalil and\nMohammad Saidur Rahman and\nMohammed Atiquzzaman and\nXun Yi and\nShahriar Badsha"", ""ENTRYTYPE"": ""article"", ""ID"": ""DBLP:journals/tii/BugshanKRAYB23""}",ibrahim.khalil@rmit.edu.au,1332.0,{IEEE} Trans. Ind. Informatics,https://doi.org/10.1109/TII.2022.3209200,,journal article,10.1109/TII.2022.3209200,SUBMITTED,1,,,,,,
1437,,Blockchain-Based Federated Learning With Secure Aggregation in TrustedExecution Environment for Internet-of-Things,2023.0,Aditya Pribadi Kalapaaking andIbrahim Khalil andMohammad Saidur Rahman andMohammed Atiquzzaman andXun Yi andMahathir Almashor,"{""bibsource"": ""dblp computer science bibliography, https://dblp.org"", ""biburl"": ""https://dblp.org/rec/journals/tii/KalapaakingKRAY23.bib"", ""timestamp"": ""Tue, 03 Jan 2023 15:21:03 +0100"", ""doi"": ""10.1109/TII.2022.3170348"", ""url"": ""https://doi.org/10.1109/TII.2022.3170348"", ""year"": ""2023"", ""pages"": ""1703--1714"", ""number"": ""2"", ""volume"": ""19"", ""journal"": ""{IEEE} Trans. Ind. Informatics"", ""title"": ""Blockchain-Based Federated Learning With Secure Aggregation in Trusted\nExecution Environment for Internet-of-Things"", ""author"": ""Aditya Pribadi Kalapaaking and\nIbrahim Khalil and\nMohammad Saidur Rahman and\nMohammed Atiquzzaman and\nXun Yi and\nMahathir Almashor"", ""ENTRYTYPE"": ""article"", ""ID"": ""DBLP:journals/tii/KalapaakingKRAY23""}",ibrahim.khalil@rmit.edu.au,1332.0,{IEEE} Trans. Ind. Informatics,https://doi.org/10.1109/TII.2022.3170348,,journal article,10.1109/TII.2022.3170348,SUBMITTED,1,,,,,,
1438,,Trustworthy Privacy-Preserving Hierarchical Ensemble and FederatedLearning in Healthcare 4.0 With Blockchain,2023.0,Veronika Stephanie andIbrahim Khalil andMohammed Atiquzzaman andXun Yi,"{""bibsource"": ""dblp computer science bibliography, https://dblp.org"", ""biburl"": ""https://dblp.org/rec/journals/tii/StephanieKAY23.bib"", ""timestamp"": ""Sun, 22 Oct 2023 11:14:53 +0200"", ""doi"": ""10.1109/TII.2022.3214998"", ""url"": ""https://doi.org/10.1109/TII.2022.3214998"", ""year"": ""2023"", ""pages"": ""7936--7945"", ""number"": ""7"", ""volume"": ""19"", ""journal"": ""{IEEE} Trans. Ind. Informatics"", ""title"": ""Trustworthy Privacy-Preserving Hierarchical Ensemble and Federated\nLearning in Healthcare 4.0 With Blockchain"", ""author"": ""Veronika Stephanie and\nIbrahim Khalil and\nMohammed Atiquzzaman and\nXun Yi"", ""ENTRYTYPE"": ""article"", ""ID"": ""DBLP:journals/tii/StephanieKAY23""}",ibrahim.khalil@rmit.edu.au,1332.0,{IEEE} Trans. Ind. Informatics,https://doi.org/10.1109/TII.2022.3214998,,journal article,10.1109/TII.2022.3214998,SUBMITTED,1,,,,,,
1439,,"Toward Trustworthy and Privacy-Preserving Federated Deep Learning
Service Framework for Industrial Internet of Things",2023.0,"Neda Bugshan and
Ibrahim Khalil and
Mohammad Saidur Rahman and
Mohammed Atiquzzaman and
Xun Yi and
Shahriar Badsha","{""bibsource"": ""dblp computer science bibliography, https://dblp.org"", ""biburl"": ""https://dblp.org/rec/journals/tii/BugshanKRAYB23.bib"", ""timestamp"": ""Tue, 03 Jan 2023 15:21:03 +0100"", ""doi"": ""10.1109/TII.2022.3209200"", ""url"": ""https://doi.org/10.1109/TII.2022.3209200"", ""year"": ""2023"", ""pages"": ""1535--1547"", ""number"": ""2"", ""volume"": ""19"", ""journal"": ""{IEEE} Trans. Ind. Informatics"", ""title"": ""Toward Trustworthy and Privacy-Preserving Federated Deep Learning\nService Framework for Industrial Internet of Things"", ""author"": ""Neda Bugshan and\nIbrahim Khalil and\nMohammad Saidur Rahman and\nMohammed Atiquzzaman and\nXun Yi and\nShahriar Badsha"", ""ENTRYTYPE"": ""article"", ""ID"": ""DBLP:journals/tii/BugshanKRAYB23""}",ibrahim.khalil@rmit.edu.au,1332.0,{IEEE} Trans. Ind. Informatics,https://doi.org/10.1109/TII.2022.3209200,,journal article,10.1109/TII.2022.3209200,DELETED,0,,,,,,
1440,,Smart Policy Control for Securing Federated Learning Management System,2023.0,Aditya Pribadi Kalapaaking andIbrahim Khalil andMohammed Atiquzzaman,"{""bibsource"": ""dblp computer science bibliography, https://dblp.org"", ""biburl"": ""https://dblp.org/rec/journals/tnsm/KalapaakingKA23.bib"", ""timestamp"": ""Fri, 07 Jul 2023 23:31:53 +0200"", ""doi"": ""10.1109/TNSM.2023.3276594"", ""url"": ""https://doi.org/10.1109/TNSM.2023.3276594"", ""year"": ""2023"", ""pages"": ""1600--1611"", ""number"": ""2"", ""volume"": ""20"", ""journal"": ""{IEEE} Trans. Netw. Serv. Manag."", ""title"": ""Smart Policy Control for Securing Federated Learning Management System"", ""author"": ""Aditya Pribadi Kalapaaking and\nIbrahim Khalil and\nMohammed Atiquzzaman"", ""ENTRYTYPE"": ""article"", ""ID"": ""DBLP:journals/tnsm/KalapaakingKA23""}",ibrahim.khalil@rmit.edu.au,1332.0,{IEEE} Trans. Netw. Serv. Manag.,https://doi.org/10.1109/TNSM.2023.3276594,,journal article,10.1109/TNSM.2023.3276594,SUBMITTED,1,,,,,,
1441,,Digital Twin Enabled Asynchronous SplitFed Learning in E-HealthcareSystems,2023.0,Veronika Stephanie andIbrahim Khalil andMohammed Atiquzzaman,"{""bibsource"": ""dblp computer science bibliography, https://dblp.org"", ""biburl"": ""https://dblp.org/rec/journals/jsac/StephanieKA23.bib"", ""timestamp"": ""Thu, 09 Nov 2023 21:13:23 +0100"", ""doi"": ""10.1109/JSAC.2023.3310103"", ""url"": ""https://doi.org/10.1109/JSAC.2023.3310103"", ""year"": ""2023"", ""pages"": ""3650--3661"", ""number"": ""11"", ""volume"": ""41"", ""journal"": ""{IEEE} J. Sel. Areas Commun."", ""title"": ""Digital Twin Enabled Asynchronous SplitFed Learning in E-Healthcare\nSystems"", ""author"": ""Veronika Stephanie and\nIbrahim Khalil and\nMohammed Atiquzzaman"", ""ENTRYTYPE"": ""article"", ""ID"": ""DBLP:journals/jsac/StephanieKA23""}",ibrahim.khalil@rmit.edu.au,1332.0,{IEEE} J. Sel. Areas Commun.,https://doi.org/10.1109/JSAC.2023.3310103,,journal article,10.1109/JSAC.2023.3310103,SUBMITTED,1,,,,,,
1443,,Software {Framework} to {Execute} {Genetic} {Algorithm} {Experiments} in {Parallel} in the {Chameleon} {Cloud},2024.0,{David Hentrich} and {Erdal Oruklu} and {Jafar Saniie},"{""file"": ""David Hentrich et al. - 2024 - Software Framework to Execute Genetic Algorithm Ex.pdf:/home/dhentric/Zotero/storage/AX6228XE/David Hentrich et al. - 2024 - Software Framework to Execute Genetic Algorithm Ex.pdf:application/pdf"", ""year"": ""2024"", ""month"": ""July"", ""author"": ""{David Hentrich} and {Erdal Oruklu} and {Jafar Saniie}"", ""journal"": ""TechXriv"", ""language"": ""English"", ""doi"": ""10.36227/techrxiv.172107685.59884132/v1"", ""url"": ""https://www.techrxiv.org/users/797518/articles/1182841-software-framework-to-execute-genetic-algorithm-experiments-in-parallel-in-the-chameleon-cloud"", ""title"": ""Software {Framework} to {Execute} {Genetic} {Algorithm} {Experiments} in {Parallel} in the {Chameleon} {Cloud}"", ""ENTRYTYPE"": ""article"", ""ID"": ""david_hentrich_software_2024""}",dhentric,631.0,TechXriv,https://www.techrxiv.org/users/797518/articles/1182841-software-framework-to-execute-genetic-algorithm-experiments-in-parallel-in-the-chameleon-cloud,7.0,journal article,10.36227/techrxiv.172107685.59884132/v1,DELETED,0,,,,,,
1444,,Software Framework to Execute Genetic Algorithm Experiments in Parallel in the Chameleon Cloud,2024.0,{David Hentrich} and {Erdal Oruklu} and {Jafar Saniie},"{""howpublished"": ""https://www.techrxiv.org/users/797518/articles/1182841-software-framework-to-execute-genetic-algorithm-experiments-in-parallel-in-the-chameleon-cloud"", ""file"": ""David Hentrich et al. - 2024 - Software Framework to Execute Genetic Algorithm Ex.pdf:/home/dhentric/Zotero/storage/AX6228XE/David Hentrich et al. - 2024 - Software Framework to Execute Genetic Algorithm Ex.pdf:application/pdf"", ""year"": ""2024"", ""month"": ""July"", ""author"": ""{David Hentrich} and {Erdal Oruklu} and {Jafar Saniie}"", ""journal"": ""TechXriv"", ""language"": ""English"", ""doi"": ""10.36227/techrxiv.172107685.59884132/v1"", ""url"": ""https://www.techrxiv.org/users/797518/articles/1182841-software-framework-to-execute-genetic-algorithm-experiments-in-parallel-in-the-chameleon-cloud"", ""title"": ""Software Framework to Execute Genetic Algorithm Experiments in Parallel in the Chameleon Cloud"", ""ENTRYTYPE"": ""article"", ""ID"": ""david_hentrich_software_2024""}",dhentric,631.0,TechXriv,https://www.techrxiv.org/users/797518/articles/1182841-software-framework-to-execute-genetic-algorithm-experiments-in-parallel-in-the-chameleon-cloud,7.0,journal article,10.36227/techrxiv.172107685.59884132/v1,DELETED,0,,,,,,
